"","tweet_text","created_at","screen_name","name"
"158"," welp donald trump just brexited our stock market","2017-02-02 18:45:38","aspeed","NaziPuncher Pamphlet"
"159"," glendale stock market listings ","2017-02-01 13:19:02","chaltingcu87","Ariana"
"160"," snapchat owner files for listing on us stock market to raise bn making it biggest us flotation in recent years ","2017-02-02 17:57:52","KimCheeMichael","KimAllen"
"161","revealed how the earliest investors beat the stock market by   stocks investing funds investortips","2017-02-01 10:10:01","angelkings101","Angel Kings"
"162","  stock market react to the pussy grabber goin down","2017-02-01 09:40:06","MaryJo1218","Mary Jo Reynolds"
"163","the stock markets favorite trump promise might be a total dud ","2017-02-02 14:50:02","AlphonseQ","Alphonse Quenneville"
"164","why stock market analysts will be wrong about  we‚Äôre already a month into new year and‚Ä ","2017-02-02 16:58:52","Forex_warrior","Forex Warrior"
"165","tsco  barclays plc form  eptnonri  tesco plc ","2017-02-02 07:13:04","galebett","janet gale"
"166","tsco  wellington management group llp form   tesco plc ","2017-02-02 10:05:06","mark332300","Mark"
"167","gold gains as stock market volatility collapses to year lows b„rse dertraderat trading","2017-02-02 16:27:36","der_trader_at","Matthias-Schomber"
"168"," anyone who follows me knows my  predictionw were      higher rates
higher dollar
higher oil
higher inflation
higher‚Ä","2017-01-31 08:58:57","_JamisonG_","Jamison Gaddy "
"169","crowd psychology holds the secrets to winning in the stock market understand it and profit ","2017-02-02 19:22:29","draco333999","Draco  Cooper"
"170","wayback machine buy when the masses are scared and run when they are not ","2017-02-02 12:30:41","meyers000111","Johnathan Meyers"
"171","trump‚Äôs honeymoon with the stock market will soon be over  nouriel roubini
","2017-02-02 10:02:56","droolindog","Droolin' Dog"
"172","trump win triggers massive santa claus stockmarket rally ","2017-02-02 12:48:10","draco333999","Draco  Cooper"
"173"," you stated you where for all peoples now i see you are not siding with stock market instead of the people shame on you","2017-02-01 14:05:25","jalapenolady45","Barbra Midkiff"
"174"," dan loeb if trump is going to make america great again he needs a strong stock market ","2017-02-02 09:53:18","orion659","Christos"
"175","half the stock market was still running on computer systems built in the s

what happens when the old and new systems disagree on date","2017-02-01 20:30:23","FoldableHuman","Dan Olson"
"176","snapchat reveals plans for us stock market listing ","2017-02-02 19:57:11","WorleyRuiz","Mari Brettell"
"177"," the stock market is expected to grow from  percent to  per cent larger the leading industry professor said","2017-01-31 10:02:55","beanerboard","the beaner board"
"178"," there is speculation that the russians were laundering money through foreign banks to manipulate the stock market is it true","2017-01-31 10:24:56","sundance_777","Ronny J. Escamilla"
"179","teach these companies not to meddle in politics and damage our trusted and loved  
boycott their products amp‚Ä ","2017-02-01 11:37:10","JFleckenAlvarez","Jeanette Alvarez"
"180","this not donald trump is the true revolution upending stockmarket investing  ","2017-02-01 09:07:51","JohnPace88","John Pace"
"181"," trump‚Äôs honeymoon with the stock market will soon be over  nouriel roubini worldnews news ","2017-02-02 10:03:24","Shambles151","Roger Gall"
"182","snapchat files plans for us stock market listing ","2017-02-02 17:36:18","ifancyawebsite","ifancyawebsite.com"
"183","legendary stock picker bill miller sees the market ok as long as bond yields remain low ","2017-02-02 07:27:25","phil_carlson","Phil Carlson"
"184","ruggero respigo  january  stock market contest results the winner is somethingelse with fnma pick and ‚Ä ","2017-02-02 13:33:12","RuggeroRespigo","Ruggero Respigo"
"185","stock snapchat files plans for stock market listing snap the parent company of messaging app snapchat files‚Ä ","2017-02-02 17:48:43","stock8signal","Stock Signal-Dave"
"186","atampt named top dividend stock with insider buying and  yield market","2017-01-31 14:39:33","androworldnews","Lukito Abraham"
"187","stock market update investors display caution at midday ","2017-01-31 13:08:24","Rich_Learn","Richard R Learn"
"188"," snapchat owner files for listing on us stock market to raise bn making it biggest us flotation in recent years ","2017-02-02 18:00:15","seanmayneadams","Sean"
"189"," stock market listings denton","2017-02-01 16:32:04","fellcarlwe88","Morgan Cook"
"190","tech snapchat files plans for us stock market listing by bbc","2017-02-02 17:39:07","_news365","Network News"
"191","investors worried about a stock market crash   don‚Äôt worry be happy ","2017-02-02 14:07:43","meyers000111","Johnathan Meyers"
"192","celg options volume chart in animation free stock station app itunes ","2017-01-31 16:30:09","OptionsProVol","OptionsPro Volume"
"193","brazil stock market rally depends on one thing brazil ","2017-02-01 12:59:42","ed1aniia","Ani Ediani"
"194"," financial expert secrets of the stock market that wall street doesn‚Äôt want you to know 
related‚Ä ","2017-01-31 18:42:18","TimSchulteJr","Tim Schulte, Jr."
"195","rt seekingalpha the cnf  g continues to reliably signals the general stock market trend spy qqq dia sh iwm ‚Ä","2017-01-31 10:20:34","IJNewsNet","IJ News Network"
"196"," they think the stock market went up because of it  it went up because it was delayed","2017-02-01 08:31:31","ElizaWindso","Eliza Windsor"
"197"," confused by the stock market dont be a primer on stocks money wealth ","2017-02-01 14:31:47","axiomthawyze","Axiomatic"
"198","snapchat unveils new york stock market filing ","2017-02-02 17:54:08","PFNewsUK","PersonalFinanceNews"
"199","there is a valid point to be made that  is colluding with this behavior and should either desist or be part‚Ä ","2017-02-02 13:26:54","ungadjo1","NeverMyPresident"
"200"," does trump take credit for the immigration stock sell off muslimban costing billions in market value hurting ameri‚Ä","2017-01-31 10:24:50","theartofthexpat","sharon mcmenemy khan"
"201"," heres a list of all the stock market bubbles for the next  years find someone who knows what to do with it whatiwou‚Ä","2017-02-01 10:04:32","rafesolomon","Rafe S"
"202"," debuts on toronto stock market eyes aggressive expansion plan ","2017-02-02 09:48:10","SchulichCGE","Schulich CGE"
"203","tlt options volume chart in animation free stock station app itunes ","2017-02-01 14:32:33","OptionsProVol","OptionsPro Volume"
