"","tweet_text","create_at","names","screen_name","Gender"
"659"," i cant wait to have disposable income so i can play the stock market and lose everything","2017-01-31 10:11:54","DONTKNOWWH0IEM","IM NUBYD",NA
"660","the disappearing stock market ","2017-01-31 20:20:42","FL85","CHERYLLAIRD",2
"661","stock market indices technical analysis  stocks nasdaq dax sp","2017-01-31 09:25:02","TRENDTRADINGDNA","TRENDTRADINGDNA",NA
"662","snapchat reveals plans for us stock market listing the owner of messaging app snapchat files plans to sells‚Ä bbc","2017-02-02 19:59:17","BREAKINGNEWS_NL","BREAKING NEWS WORLD",NA
"663","column the stock market hates trump‚Äôs economic policies ","2017-01-31 19:21:39","AZZAMKAMAL","ZAMMER",NA
"664"," wow the stock market is in free fall what caused that stupid trump policies is all that has changed in the last  days","2017-01-31 17:39:40","THEPIRATEDOC","JOHN RICKABAUGH",NA
"665"," almost the entire trump bump in the stock market has gone away ","2017-01-31 19:41:34","HI_MICHELLE27","MICHELLE",2
"666","ill bet the stock market tanks now with the threat of war with iran","2017-02-01 14:41:38","SAMPREVITIRE","SAMUEL PREVITIRE",2
"667","legendary stock picker bill miller sees the market ok as long as bond yields remain low ","2017-02-02 07:27:38","USAMOMENTUM","USA MOMENTUM",NA
"668"," meaningful brands have outperformed the stock market by a staggering  over a ten year period from ‚Ä ","2017-02-01 06:57:43","CAPITALDBG","CAPITAL DBG",1
"669","zigzagman stock charts obmp features an intersection of promising ","2017-02-01 10:35:09","IHANGOUT2","IHANGOUT",NA
"670"," the stock market in  ","2017-02-02 18:13:03","ASHLEYLEN13","ASHLEY LE√≥N",2
"671","ucwradio  legendary stock picker bill miller sees the market ok as long as bond yields remain low news finance","2017-02-02 07:39:25","UCWNEWS","THE UCW RADIO SHOW",NA
"672","trump s presidency  stockmarket crash or start of new megatrends ","2017-01-31 19:48:25","SAUL42","TACTICAL INVESTOR",NA
"673","xom options volume chart in animation free stock station app itunes ","2017-01-31 14:30:27","OPTIONSPROVOL","OPTIONSPRO VOLUME",NA
"674"," phillip fisher the stock market is filled with individuals who know the price of everything but the value of nothing","2017-02-01 07:16:49","NUBOSTONGEORGE","OTC BOSTON GEORGE",NA
"675","the bank of japan has become the biggest whale in japans stock market ","2017-02-01 20:28:12","SACHIBTPI","SACHIDANANDA",NA
"676"," top  online brokers for stock trading penny stock charts ","2017-02-02 08:46:45","HAMPMALOCK90","VICTORIA BENNETT",2
"677"," the stock market in  ","2017-02-01 18:15:33","CHI_ERICA","ERICA CHI",1
"678","clintonlinked laureate education tanks in first day on stock market ‚ alex jones infowars theres a war on ","2017-02-02 12:24:56","INTELBRIEF","NATHAN HOPKINS",2
"679","stock market players‚†upbeat ","2017-02-02 19:26:39","BELLAAFRICANEWS","BELLA AFRICA",1
"680","the stock market is way overbought fck","2017-01-31 14:24:18","WEIZ35746","WEIZ35746",NA
"681"," trump‚Äôs honeymoon with the stock market will soon be over  nouriel roubini ","2017-02-02 10:54:53","TRALEPAGINE","TRALEPAGINEDIUNLIBRO",NA
